text,is_humor,pred_nbsvm,pred_baseline,pred_lora
HALA... Eropuerto España JAJAJAJAJ 😂😂😂😂😂,1,0,0,0
No me dejan poner los 4 porteros que he llevado a Turquía. #RoboAlMadrid,1,0,0,0
Al árbitro del Milan-Barça le gustó como le alicaté el baño.,0,1,1,1
"Me encantan las publicidades que te dicen con una voz dulce, tierna y suave como tapar el olor a mierda",1,0,0,0
"No manche jefa, claro que es normal que para el primer día de clases nos pidan un pomo de Bacardi.",1,0,0,0
"Típico: *Guardar archivo* ""asdfgh"" *nombre ya existente* ""asdfgh1"".",1,0,0,0
Mamado Nervo Jose Vasconpelos Gabriel García Mamarquez Pablo Peluda Asi la #4taTransformacion,1,0,0,0
El HOMBRE es un ser tan dependiente que hasta para ser cornudo o viudo necesta de la ayuda de una MUJER. #fb,0,1,1,1
#Tipico que vas al Zoologico y ves a Shakira loca con su tigre! #RT,0,1,1,1
No estudiar nada en todo el día. Sentirse culpable. Y finalmente seguir haciendo nada. Mi rutina diaria.,1,0,0,0
"Bebo para olvidar, pero ahora... no me acuerdo de que. Frida Kahlo",1,0,0,0
"—Si abres Google. —Le das clic en imágenes. —Pones la palabra: ""Wankaego"". —Ves las imágenes y no se te para el Pito. —Eres una amiga más.",0,1,1,1
"No has vivido, si nunca dijiste ""Mama si me compras esto, nunca más te pido nada"".",1,0,0,0
Estoy mas preocupado que cocodrilo en fábrica de carteras con el partido del Real Madrid San Lorenzo #MundialDeClubes,1,0,0,0
Vivir tu vida es algo tan difícil que nadie antes lo ha intentado,1,0,0,0
"Ese inexplicable momento cuando lanzas tu teléfono hacia tu cama y éste decide saltar tres paredes, golpear una lámpara y matar un gato",0,1,1,1
"#Los10MandamientosDelVago 5. El trabajo es sagrado, no lo toques. #RT",1,0,0,0
"El amor es como el Wi-Fi, a medida que te alejas, pierde intensidad...",0,1,1,1
"Se solicita gente mutilada, cáncer terminal o malformaciones congénitas de preferencia niños, para publicaciones en Facebook de ""Amén"".",1,0,0,0
"- 911, ¿cuál es su emergencia? - Nos queremos y no somos novios :/",0,1,1,1
no es lo mismo ser profundo que haberse venido abajo .. #frases #chistes,0,1,1,1
"No te deseo ningún mal, pero ojalá la voz de tu conciencia esté doblada al español latino.",1,0,0,0
Hoy le tocó a nsync estar al mando de mi cerebro,1,0,0,0
"El alumno no reprueba materias, se especializa en la asignatura.",1,0,0,0
"Típico: Tener hambre, no hay nada en el refrigerador &amp; creas un nuevo platillo jamas visto con las cosas que encuentras.",1,0,0,0
One Two Three Four Five Six Seven bien tontos leyendo esto.,1,0,0,0
Si tuviera plata como tenia medias sucias no tendría que trabajar en mucho tiempo,1,0,0,0
No dejes para mañana lo que puedes hacer pasado mañana.,1,0,0,0
Para este Halloween me voy a disfrazar de disfunción eréctil. A eso sí TODOS le temen.,1,0,0,0
"Mi amigo deja todo por la mitad, es un tipo de principios",1,0,0,0
Las mujeres con pecas tienen miles de puntitos a su favor.,1,0,0,0
"Por si hay réplicas, recuerden: ❎ No corro ❎ No grito ❌ No llamo a mi ex para preguntarle si está bien.",0,1,1,1
"Cuando alguien te diga que no puedes hacer algo, dale la razón y acostate a dormir.",1,0,0,0
"La lógica que te permite creer que hay un fantasma en la cocina, y que al cerrar con llave la puerta del cuarto, no se atreverá a pasar.",0,1,1,1
"La mentira más grande que he dicho: ""No es necesario anotarlo, lo voy a recordar"".",1,0,0,0
"#Tipico, salir a despejar tu mente y lo primero que ves, un montón de parejas agarradas de la mano...y tu sol@! #fb",0,1,1,1
"#Los10MandamientosDelVago 8. Calma, nunca nadie murió por descansar. #RT",1,0,0,0
"Cuando estés muy triste, lee este hermoso y bello tuit. (Ahorita no idiotas. Cuando estén tristes)",1,0,0,0
"Ay! Santa Gremal yo ya me siento mal,Ay! San Jaleo tengo un poco e miedo!Ay! San Tolon tanto estress esta cabron!",1,0,0,0
No hay nada más difícil que vivir sin ti. Excepto mover el asiento del copiloto desde el asiento del piloto esa madre si no se puede,1,0,0,0
"El Seba acaba de hacer un GOLAZO y anoche carreteó hasta tarde. Hijo mío, ahí está la herencia de tu madre.",0,1,1,1
"¿Hemos hecho ya un penalti que no nos han pitado en contra? Ah no, que no hemos empezado a jugar todavía....",1,0,0,0
España se dejó eliminar de la Eurocopa para apoyar a Messi. #Respect,1,0,0,0
Casi todos los estudiantes tienen complejo de Fernando Alonso: saben que les a costar acabar la carrera,1,0,0,0
"Pido un minuto de silencio por el profesor Jirafales, silencio, silencio, ¡SIIIIIIIII-LEN-CIOO!",1,0,0,0
a tu edad sumale 7 esta sera tu edad de acá a siete años,1,0,0,0
"Yo por eso no voy a las peluquerías. Ta, que casi no tenga pelo es un detalle.",1,0,0,0
"Siempre que veo #MasterChefMx se me antoja preparar lo que están haciendo, pero nunca se cómo hacerle con solo un huevo y medio litro leche",1,0,0,0
"Me estoy poniendo en forma, pero todavía no se nota en forma de qué 🙊",1,0,0,0
¡Comencemos una buena amistad en Pokémon GO! ¡Mi código de Entrenador es 4415 3056 0820!,0,1,1,1
"Si crees que los gatos son inofensivos, es porque no los has visto pedos, cantando banda y sintiéndose sicarios.",0,1,1,1
"#MiradasQueDicen - ¿Que me miras, te debo algo? -No -Entonces no me mires imbecil.",0,1,1,1
"Anuncian paros sorpresivos, arruinándolos.",1,0,0,0
Ahora acusaron de abuso sexual a Nick Carter de los Backstreet Boys. No cabe duda que están acusando a everybooodyyyyyyyy yeeeahh 🎶,1,0,0,0
"Típico : el profesor dice: ""Jóvenes, recojo el examen en 5 minutos"" y aún a ti te falta medio examen.",0,1,1,1
Yo también dejé de correr cuando el profesor de educación física volteaba.,0,1,1,1
¿Cómo va su día amiguitos? el mío bien sólo me he querido morir dos veces.,1,0,0,0
"No quiero arruinar su martes, pero faltan 20 días para que cenen con sus tías las chismosas y demás familiares indeseables.",1,0,0,0
"RT : Cocodrilo: ""¿Voy a comerme a tu niño? Responde correctamente y te devolvere al niño ileso""La Madre:""Ay,Te vas a comer a mi hijo""",0,1,1,1
"Amo el humor negro, pero si cuento algunos chistes capaz que se enojen...",0,1,1,1
saben como dejar un bobo iniciado..........................................................................................despues les digo,1,0,0,0
Hace menos de quince horas que estamos en 2016 y ya quise morirme más de 2016 veces. Incluso ahora.,0,1,1,1
Sabes que Diosito te odia cuando te acabas de bañar e inmediatamente te dan ganas de cagar.,1,0,0,0
"Tal vez en tu otra vida fuiste meme, porque cada vez que te veo, sonrío como idiota.",1,0,0,0
"#OjalaPagaranPor Dormir y tuitear, todo sería más fácil y no tendría que estudiar ni madrugar.",1,0,0,0
Qué hermosos ojos tenés como para romperte el culo.,1,0,0,0
"Mi madre hace milagros, pero conmigo se pasó.. #XD",0,1,1,1
"Lleva un minuto sin contestarme, de seguro está con otra.",1,0,0,0
"Dormí tan rico, y desperté igual de pobre.",1,0,0,0
"—¿A dónde vas tan arreglada? —Al baño, necesito cambiar mi foto de perfil. *Todas las mujeres*",0,1,1,1
Ojalá todo se me diera tan bien como dormir.,1,0,0,0
Siempre será mejor hablar en clases que en el recreo.,1,0,0,0
"Hay cosas realmente placenteras en éste mundo, un abrazo en momentos difíciles, un beso de la persona que amas, ver perder a Brasil.",1,0,0,0
"me alegra cuando desactivan el visto y la ultima conexion, del Whatpp, asi igul no se dan cuenta cuando les dejo en visto, mistic guau",1,0,0,0
—¿Qué te pasa? —Nada. —Te conozco y te pasó algo. —¿Me conoces? ¿Entonces por qué sigues haciendo cosas que sabes que me molestan?,0,1,1,1
El mejor maestro es el tiempo. -Alguien que no ha acabado la secundaria. #DiaDelMaestro,1,0,0,0
Yo que Jesús no vuelvo ni loco.,1,0,0,0
"""Cormillot , Fabbiani es argentino"" #Chistes",0,1,1,1
"Que envidia la gente que come y no engorda, yo respiro y ya subí como 20 kilos. 😔",1,0,0,0
"""Los papeles de Panamá no afectan a México, pues aquí nos limpiamos con Charmin"" —Andrea Legarreta.",0,1,1,1
El ZAPATERO esta en la pomada #frases,0,1,1,1
"Que triste que tengas que pelearte con los maestros para una buena calificación para tu hijo, porque él solo no puede sacar ni un 6.",0,1,1,1
Si Emmanuel es cantante con esa voz yo podría ser Miss Chile con este cuerpo. #paridad,1,0,0,0
"Si amas a alguien violalo, si lo disfruta es tuyo, si te denuncia nunca lo fue. ()",1,0,0,0
"Para los años que tienes... muy rico. El pollo, no #venacenar111",0,1,1,1
